uid,datetime,type,value
687,2025-05-22 11:38:46,screen,on
668,2025-05-22 11:38:51,screen,on
668,2025-05-22 11:38:58,screen,off
668,2025-05-22 11:39:00,screen,on
670,2025-05-22 11:40:50,screen,on
681,2025-05-22 11:40:59,screen,off
670,2025-05-22 11:41:11,screen,off
687,2025-05-22 11:42:00,screen,off
676,2025-05-22 11:43:04,screen,on
670,2025-05-22 11:44:16,screen,on
670,2025-05-22 11:44:24,screen,off
671,2025-05-22 11:48:55,screen,off
671,2025-05-22 11:49:14,screen,on
681,2025-05-22 11:50:28,screen,on
681,2025-05-22 11:50:30,screen,off
681,2025-05-22 11:50:33,screen,on
681,2025-05-22 11:50:39,screen,off
687,2025-05-22 11:52:54,screen,on
681,2025-05-22 11:53:10,screen,on
681,2025-05-22 11:53:11,screen,off
687,2025-05-22 11:53:17,screen,off
668,2025-05-22 11:53:31,screen,off
668,2025-05-22 11:53:48,screen,on
668,2025-05-22 11:53:51,screen,off
668,2025-05-22 11:54:05,screen,on
687,2025-05-22 11:54:33,screen,on
687,2025-05-22 11:54:36,screen,off
687,2025-05-22 11:54:41,screen,on
687,2025-05-22 11:54:45,screen,off
687,2025-05-22 11:54:46,screen,on
687,2025-05-22 11:54:49,screen,off
681,2025-05-22 11:55:05,screen,on
687,2025-05-22 11:55:09,screen,on
671,2025-05-22 11:55:26,screen,off
687,2025-05-22 11:56:13,screen,off
678,2025-05-22 11:56:27,screen,on
678,2025-05-22 11:56:33,screen,off
687,2025-05-22 11:57:36,screen,on
687,2025-05-22 11:57:45,screen,off
671,2025-05-22 11:59:46,screen,on
671,2025-05-22 12:00:01,screen,off
681,2025-05-22 12:01:09,screen,off
681,2025-05-22 12:04:21,screen,on
681,2025-05-22 12:04:27,screen,off
687,2025-05-22 12:04:53,screen,on
681,2025-05-22 12:04:56,screen,on
687,2025-05-22 12:04:57,screen,off
681,2025-05-22 12:05:02,screen,off
681,2025-05-22 12:05:02,screen,on
687,2025-05-22 12:05:23,screen,on
681,2025-05-22 12:05:47,screen,off
670,2025-05-22 12:06:07,screen,on
687,2025-05-22 12:06:25,screen,off
681,2025-05-22 12:07:00,screen,on
670,2025-05-22 12:07:02,screen,off
681,2025-05-22 12:07:10,screen,off
670,2025-05-22 12:07:20,screen,on
681,2025-05-22 12:07:20,screen,on
681,2025-05-22 12:07:41,screen,off
670,2025-05-22 12:07:46,screen,off
668,2025-05-22 12:09:00,screen,off
671,2025-05-22 12:09:32,screen,on
681,2025-05-22 12:09:54,screen,on
681,2025-05-22 12:10:45,screen,off
681,2025-05-22 12:11:05,screen,on
681,2025-05-22 12:11:06,screen,off
668,2025-05-22 12:11:33,screen,on
668,2025-05-22 12:11:40,screen,off
687,2025-05-22 12:11:46,screen,on
668,2025-05-22 12:11:51,screen,on
687,2025-05-22 12:12:02,screen,off
681,2025-05-22 12:13:04,screen,on
681,2025-05-22 12:14:16,screen,off
687,2025-05-22 12:14:20,screen,on
681,2025-05-22 12:14:55,screen,on
681,2025-05-22 12:17:22,screen,off
681,2025-05-22 12:17:35,screen,on
687,2025-05-22 12:18:00,screen,off
687,2025-05-22 12:18:28,screen,on
671,2025-05-22 12:18:59,screen,off
687,2025-05-22 12:19:01,screen,off
671,2025-05-22 12:19:13,screen,on
687,2025-05-22 12:19:37,screen,on
671,2025-05-22 12:20:23,screen,off
687,2025-05-22 12:20:32,screen,off
671,2025-05-22 12:20:51,screen,on
687,2025-05-22 12:21:02,screen,on
687,2025-05-22 12:21:03,screen,off
681,2025-05-22 12:21:05,screen,off
687,2025-05-22 12:21:05,screen,on
687,2025-05-22 12:21:14,screen,off
687,2025-05-22 12:21:15,screen,on
671,2025-05-22 12:22:45,screen,off
671,2025-05-22 12:23:01,screen,on
671,2025-05-22 12:23:03,screen,off
671,2025-05-22 12:24:09,screen,on
676,2025-05-22 12:25:11,screen,off
670,2025-05-22 12:25:13,screen,on
676,2025-05-22 12:25:51,screen,on
678,2025-05-22 12:26:07,screen,on
678,2025-05-22 12:26:17,screen,off
671,2025-05-22 12:26:34,screen,off
670,2025-05-22 12:26:40,screen,off
678,2025-05-22 12:26:46,screen,on
678,2025-05-22 12:26:48,screen,off
670,2025-05-22 12:28:01,screen,on
671,2025-05-22 12:30:05,screen,on
687,2025-05-22 12:30:37,screen,off
687,2025-05-22 12:30:46,screen,on
687,2025-05-22 12:30:50,screen,off
676,2025-05-22 12:30:50,screen,off
687,2025-05-22 12:30:56,screen,on
687,2025-05-22 12:30:59,screen,off
687,2025-05-22 12:31:04,screen,on
687,2025-05-22 12:31:07,screen,off
676,2025-05-22 12:31:11,screen,on
687,2025-05-22 12:31:12,screen,on
687,2025-05-22 12:31:15,screen,off
687,2025-05-22 12:31:21,screen,on
687,2025-05-22 12:31:25,screen,off
670,2025-05-22 12:31:27,screen,off
687,2025-05-22 12:31:29,screen,on
687,2025-05-22 12:31:33,screen,off
687,2025-05-22 12:31:38,screen,on
687,2025-05-22 12:31:41,screen,off
687,2025-05-22 12:31:46,screen,on
687,2025-05-22 12:31:49,screen,off
687,2025-05-22 12:31:54,screen,on
687,2025-05-22 12:31:57,screen,off
687,2025-05-22 12:32:02,screen,on
681,2025-05-22 12:32:04,screen,on
687,2025-05-22 12:32:06,screen,off
687,2025-05-22 12:32:10,screen,on
687,2025-05-22 12:32:14,screen,off
687,2025-05-22 12:32:18,screen,on
687,2025-05-22 12:32:22,screen,off
670,2025-05-22 12:32:23,screen,on
687,2025-05-22 12:32:29,screen,on
687,2025-05-22 12:32:43,screen,off
670,2025-05-22 12:32:45,screen,off
687,2025-05-22 12:32:52,screen,on
687,2025-05-22 12:32:55,screen,off
670,2025-05-22 12:33:31,screen,on
681,2025-05-22 12:35:10,screen,off
681,2025-05-22 12:35:11,screen,on
681,2025-05-22 12:35:13,screen,off
670,2025-05-22 12:36:51,screen,off
670,2025-05-22 12:36:56,screen,on
687,2025-05-22 12:37:27,screen,on
670,2025-05-22 12:37:36,screen,off
687,2025-05-22 12:37:46,screen,off
670,2025-05-22 12:39:05,screen,on
687,2025-05-22 12:39:10,screen,on
670,2025-05-22 12:39:11,screen,off
671,2025-05-22 12:40:37,screen,off
687,2025-05-22 12:41:38,screen,off
676,2025-05-22 12:42:11,screen,off
671,2025-05-22 12:42:13,screen,on
671,2025-05-22 12:42:31,screen,off
687,2025-05-22 12:42:33,screen,on
670,2025-05-22 12:42:56,screen,on
670,2025-05-22 12:43:00,screen,off
671,2025-05-22 12:43:51,screen,on
671,2025-05-22 12:44:12,screen,off
671,2025-05-22 12:45:13,screen,on
671,2025-05-22 12:45:33,screen,off
670,2025-05-22 12:45:33,screen,on
687,2025-05-22 12:45:33,screen,off
670,2025-05-22 12:45:40,screen,off
668,2025-05-22 12:46:50,screen,off
681,2025-05-22 12:46:51,screen,on
671,2025-05-22 12:47:25,screen,on
676,2025-05-22 12:47:33,screen,on
681,2025-05-22 12:47:56,screen,off
681,2025-05-22 12:48:00,screen,on
670,2025-05-22 12:48:16,screen,on
687,2025-05-22 12:49:10,screen,on
687,2025-05-22 12:49:20,screen,off
671,2025-05-22 12:49:55,screen,off
670,2025-05-22 12:51:25,screen,off
670,2025-05-22 12:51:30,screen,on
670,2025-05-22 12:51:39,screen,off
670,2025-05-22 12:51:40,screen,on
671,2025-05-22 12:52:20,screen,on
681,2025-05-22 12:52:48,screen,off
671,2025-05-22 12:53:53,screen,off
671,2025-05-22 12:54:07,screen,on
670,2025-05-22 12:54:51,screen,off
678,2025-05-22 12:55:15,screen,on
681,2025-05-22 12:56:19,screen,on
671,2025-05-22 12:56:22,screen,off
671,2025-05-22 12:56:55,screen,on
671,2025-05-22 12:57:13,screen,off
671,2025-05-22 12:57:21,screen,on
671,2025-05-22 12:57:36,screen,off
681,2025-05-22 12:58:33,screen,off
670,2025-05-22 13:00:20,screen,on
671,2025-05-22 13:01:13,screen,on
671,2025-05-22 13:01:33,screen,off
670,2025-05-22 13:01:36,screen,off
670,2025-05-22 13:01:40,screen,on
670,2025-05-22 13:01:45,screen,off
671,2025-05-22 13:02:13,screen,on
670,2025-05-22 13:02:57,screen,on
670,2025-05-22 13:02:59,screen,off
671,2025-05-22 13:03:03,screen,off
671,2025-05-22 13:03:42,screen,on
681,2025-05-22 13:03:48,screen,on
670,2025-05-22 13:03:50,screen,on
671,2025-05-22 13:03:58,screen,off
678,2025-05-22 13:04:13,screen,on
678,2025-05-22 13:04:30,screen,off
671,2025-05-22 13:04:38,screen,on
671,2025-05-22 13:04:49,screen,off
670,2025-05-22 13:05:17,screen,off
678,2025-05-22 13:06:36,screen,on
681,2025-05-22 13:07:14,screen,off
671,2025-05-22 13:08:39,screen,on
681,2025-05-22 13:09:19,screen,on
681,2025-05-22 13:09:46,screen,off
670,2025-05-22 13:10:45,screen,on
670,2025-05-22 13:11:08,screen,off
678,2025-05-22 13:12:04,screen,off
670,2025-05-22 13:12:17,screen,on
678,2025-05-22 13:12:25,screen,on
678,2025-05-22 13:12:30,screen,off
670,2025-05-22 13:12:47,screen,off
670,2025-05-22 13:12:51,screen,on
678,2025-05-22 13:12:58,screen,on
670,2025-05-22 13:13:08,screen,off
681,2025-05-22 13:13:40,screen,on
681,2025-05-22 13:13:56,screen,off
681,2025-05-22 13:14:01,screen,on
681,2025-05-22 13:14:03,screen,off
678,2025-05-22 13:14:50,screen,off
668,2025-05-22 13:15:06,screen,on
676,2025-05-22 13:16:13,screen,off
681,2025-05-22 13:17:35,screen,on
670,2025-05-22 13:17:43,screen,on
670,2025-05-22 13:18:08,screen,off
676,2025-05-22 13:19:19,screen,on
681,2025-05-22 13:19:40,screen,off
681,2025-05-22 13:21:35,screen,on
687,2025-05-22 13:22:32,screen,on
687,2025-05-22 13:22:35,screen,off
687,2025-05-22 13:22:36,screen,on
687,2025-05-22 13:22:47,screen,off
670,2025-05-22 13:22:59,screen,on
676,2025-05-22 13:24:18,screen,off
676,2025-05-22 13:27:06,screen,on
670,2025-05-22 13:29:05,screen,off
681,2025-05-22 13:29:05,screen,off
681,2025-05-22 13:29:21,screen,on
