datetime,value,uid,type
2025-05-24 21:15:00,5.133333333333334,681,light
2025-05-24 21:16:00,5.266666666666667,681,light
2025-05-24 21:17:00,5.4,681,light
2025-05-24 21:18:00,5.533333333333333,681,light
2025-05-24 21:19:00,5.666666666666667,681,light
2025-05-24 21:20:00,5.8,681,light
2025-05-24 21:21:00,5.933333333333334,681,light
2025-05-24 21:22:00,6.066666666666666,681,light
2025-05-24 21:23:00,6.2,681,light
2025-05-24 21:24:00,6.333333333333333,681,light
2025-05-24 21:25:00,6.466666666666667,681,light
2025-05-24 21:26:00,6.6,681,light
2025-05-24 21:27:00,6.733333333333333,681,light
2025-05-24 21:28:00,6.866666666666667,681,light
2025-05-24 21:29:00,7.0,681,light
2025-05-24 21:30:00,7.133333333333334,681,light
2025-05-24 21:31:00,7.266666666666667,681,light
2025-05-24 21:32:00,7.4,681,light
2025-05-24 21:33:00,7.533333333333333,681,light
2025-05-24 21:34:00,7.666666666666667,681,light
2025-05-24 21:35:00,7.8,681,light
2025-05-24 21:36:00,7.933333333333334,681,light
2025-05-24 21:37:00,8.066666666666666,681,light
2025-05-24 21:38:00,8.2,681,light
2025-05-24 21:39:00,8.333333333333334,681,light
2025-05-24 21:40:00,8.466666666666667,681,light
2025-05-24 21:41:00,8.6,681,light
2025-05-24 21:42:00,8.733333333333334,681,light
2025-05-24 21:43:00,8.866666666666667,681,light
2025-05-24 21:44:00,9.0,681,light
2025-05-24 21:45:00,8.833333333333334,681,light
2025-05-24 21:46:00,8.666666666666666,681,light
2025-05-24 21:47:00,8.5,681,light
2025-05-24 21:48:00,8.333333333333334,681,light
2025-05-24 21:49:00,8.166666666666666,681,light
2025-05-24 21:50:00,8.0,681,light
2025-05-24 21:51:00,7.833333333333334,681,light
2025-05-24 21:52:00,7.666666666666667,681,light
2025-05-24 21:53:00,7.5,681,light
2025-05-24 21:54:00,7.333333333333334,681,light
2025-05-24 21:55:00,7.166666666666667,681,light
2025-05-24 21:56:00,7.0,681,light
2025-05-24 21:57:00,6.833333333333334,681,light
2025-05-24 21:58:00,6.666666666666667,681,light
2025-05-24 21:59:00,6.5,681,light
2025-05-24 22:00:00,6.333333333333334,681,light
2025-05-24 22:01:00,6.166666666666667,681,light
2025-05-24 22:02:00,6.0,681,light
2025-05-24 22:03:00,5.833333333333334,681,light
2025-05-24 22:04:00,5.666666666666667,681,light
2025-05-24 22:05:00,5.5,681,light
2025-05-24 22:06:00,5.333333333333334,681,light
2025-05-24 22:07:00,5.166666666666667,681,light
2025-05-24 22:08:00,5.0,681,light
